,description,subtasks
16,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [4, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [5, 5, 7], [1, 1, 2], 'skyeast', 'yellow'"
17,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block
<Architect> Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [4, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [5, 5, 7], [1, 1, 2], 'skyeast', 'yellow' && [5, 4, 7], [1, 1, 1], 'skyeast', 'green' && [5, 6, 7], [1, 1, 1], 'skyeast', 'green'"
18,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block
<Architect> Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.
<Architect> Destroy the two green blocks and replace them with yellow blocks.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [4, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [5, 5, 7], [1, 1, 2], 'skyeast', 'yellow' && [5, 4, 7], [1, 1, 1], 'skyeast', 'green' && [5, 6, 7], [1, 1, 1], 'skyeast', 'green' && [5, 4, 7], [1, 1, 1], 'skyeast', 'orange' && [5, 6, 7], [1, 1, 1], 'skyeast', 'orange'"
19,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block
<Architect> Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.
<Architect> Destroy the two green blocks and replace them with yellow blocks.
<Architect> place green block two squares west of the second level yellow block","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [4, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [5, 5, 7], [1, 1, 2], 'skyeast', 'yellow' && [5, 4, 7], [1, 1, 1], 'skyeast', 'green' && [5, 6, 7], [1, 1, 1], 'skyeast', 'green' && [5, 4, 7], [1, 1, 1], 'skyeast', 'orange' && [5, 6, 7], [1, 1, 1], 'skyeast', 'orange' && [1, 3, 7], [1, 1, 1], 'skyeast', 'green'"
20,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow'"
21,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.
<Architect> Facing North, Build 2 yellow blocks at the right and left side of the 2nd top existing yellow block.
<Builder> Is it 2 blocks on each side (total 4) or 1 block on each side (total 2)?
<Architect> It is one block on each side, totaling two.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow'"
22,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.
<Architect> Facing North, Build 2 yellow blocks at the right and left side of the 2nd top existing yellow block.
<Builder> Is it 2 blocks on each side (total 4) or 1 block on each side (total 2)?
<Architect> It is one block on each side, totaling two.
<Architect> Facing north, skip one square to the left of the yellow tower and stack 3 green blocks, so that there's a 1 block gap between the green blocks and the bottom two yellow blocks, then, finally, break the bottom green block.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 5], [1, 1, 2], 'skyeast', 'green'"
23,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.
<Architect> Facing North, Build 2 yellow blocks at the right and left side of the 2nd top existing yellow block.
<Builder> Is it 2 blocks on each side (total 4) or 1 block on each side (total 2)?
<Architect> It is one block on each side, totaling two.
<Architect> Facing north, skip one square to the left of the yellow tower and stack 3 green blocks, so that there's a 1 block gap between the green blocks and the bottom two yellow blocks, then, finally, break the bottom green block.
<Architect> Facing North from left to right direction, Destroy the existing green blocks. Move to 5th column and 7th position, Build 2 green one top another by leave the bottom space empty.
<Builder> It's unclear what the instruction means by ""7th position."" The last part of the instruction is very ungrammatical, although I can guess what it means.
<Architect> Ignore the first instruction. Facing north, place a green block to the left of the top green block, then stack 5 green blocks immediately to the left of that block, from the ground, then, break the bottommost green block.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 5], [1, 1, 2], 'skyeast', 'green' && [1, 1, 5], [1, 1, 4], 'skyeast', 'green' && [2, 2, 5], [1, 1, 1], 'skyeast', 'green'"
24,"<Architect> Move forward 4 steps, and place a yellow block","[0, 5, 5], [1, 1, 1], 'skyeast', 'yellow'"
25,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.","[0, 5, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 4], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 4], [1, 1, 3], 'skyeast', 'yellow'"
26,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.","[0, 5, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 4], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 4], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 4], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 4], [1, 1, 1], 'skyeast', 'yellow'"
27,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.
<Architect> Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.","[0, 5, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 4], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 4], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 4], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 4], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 4], [1, 1, 2], 'skyeast', 'green'"
28,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.
<Architect> Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.
<Architect> Skip one square to the left of the current green tower and build a column of 5 green blocks. Break the bottom block of the tower you just built.","[0, 5, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 4], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 4], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 4], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 4], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 4], [1, 1, 2], 'skyeast', 'green' && [1, 1, 4], [1, 1, 4], 'skyeast', 'green'"
29,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.
<Architect> Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.
<Architect> Skip one square to the left of the current green tower and build a column of 5 green blocks. Break the bottom block of the tower you just built.
<Architect> Between the two green towers, build a column of three green blocks. Destroy the bottom two blocks of the tower you just built.","[0, 5, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 4], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 4], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 4], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 4], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 4], [1, 1, 2], 'skyeast', 'green' && [1, 1, 4], [1, 1, 4], 'skyeast', 'green' && [2, 2, 4], [1, 1, 1], 'skyeast', 'green'"
30,<Architect> Build a 6 blocks tall yellow tower and break the third block from the bottom.,"[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow'"
31,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow'"
32,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow'"
33,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.
<Architect> Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 5], [1, 1, 2], 'skyeast', 'green'"
34,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.
<Architect> Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.
<Architect> Facing north, place 2 green blocks to the left of the top green block.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 5], [1, 1, 2], 'skyeast', 'green' && [2, 1, 5], [1, 1, 2], 'eastsky', 'green'"
35,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.
<Architect> Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.
<Architect> Facing north, place 2 green blocks to the left of the top green block.
<Architect> Facing north, place two green blocks on top of the leftmost green block and one under it.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow' && [4, 4, 5], [1, 1, 1], 'skyeast', 'yellow' && [4, 6, 5], [1, 1, 1], 'skyeast', 'yellow' && [1, 3, 5], [1, 1, 2], 'skyeast', 'green' && [2, 1, 5], [1, 1, 2], 'eastsky', 'green' && [1, 1, 5], [1, 1, 1], 'skyeast', 'green' && [3, 1, 5], [1, 1, 2], 'skyeast', 'green'"
36,"<Architect> Facing north, build a row of three stacks of four red blocks","[0, 5, 5], [1, 3, 4], 'eastsky', 'red'"
37,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red'"
38,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 2, 6], [1, 1, 2], 'eastsky', 'orange'"
39,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 2, 6], [1, 1, 2], 'eastsky', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange'"
40,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.
<Architect> Facing north, stack 2 orange blocks on top of the leftmost orange block.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 2, 6], [1, 1, 2], 'eastsky', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 2], 'skyeast', 'orange'"
41,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.
<Architect> Facing north, stack 2 orange blocks on top of the leftmost orange block.
<Architect> Facing north, place an orange block to the left of the leftmost red block of the top row.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 2, 6], [1, 1, 2], 'eastsky', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 2], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange'"
42,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.
<Architect> Facing north, stack 2 orange blocks on top of the leftmost orange block.
<Architect> Facing north, place an orange block to the left of the leftmost red block of the top row.
<Architect> Place on red block to the right of the second highest block of the leftmost red tower.
<Builder> I think you mean ""Place one red block to the right of the second highest block of the RIGHTMOST red tower.""?
Otherwise, this doesn't make sense.
<Architect> Yes, that's right, it's next tot the rightmost red tower.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 2, 6], [1, 1, 2], 'eastsky', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 2], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 7, 6], [1, 1, 1], 'skyeast', 'red'"
43,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.
<Architect> Facing north, stack 2 orange blocks on top of the leftmost orange block.
<Architect> Facing north, place an orange block to the left of the leftmost red block of the top row.
<Architect> Place on red block to the right of the second highest block of the leftmost red tower.
<Builder> I think you mean ""Place one red block to the right of the second highest block of the RIGHTMOST red tower.""?
Otherwise, this doesn't make sense.
<Architect> Yes, that's right, it's next tot the rightmost red tower.
<Architect> Facing north, place a red block to the right of the rightmost red block, then place a red block on top of that, then break the first block you placed.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 2, 6], [1, 1, 2], 'eastsky', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 2], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 7, 6], [1, 1, 1], 'skyeast', 'red' && [3, 8, 6], [1, 1, 1], 'skyeast', 'red'"
44,"<Architect> Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red'"
45,"<Architect> Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing North, Move to left side of the red blocks and Build 4 brown blocks one by one (on top)
<Builder> You can't place brown blocks.
<Architect> Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange'"
46,"<Architect> Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing North, Move to left side of the red blocks and Build 4 brown blocks one by one (on top)
<Builder> You can't place brown blocks.
<Architect> Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.
<Architect> Facing north, place an orange block to the left of both existing orange blocks.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [1, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 2, 6], [1, 1, 1], 'skyeast', 'orange'"
47,"<Architect> Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing North, Move to left side of the red blocks and Build 4 brown blocks one by one (on top)
<Builder> You can't place brown blocks.
<Architect> Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.
<Architect> Facing north, place an orange block to the left of both existing orange blocks.
<Architect> Facing north, place an orange block in between the two leftmost orange blocks.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [1, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 1], 'skyeast', 'orange'"
48,"<Architect> Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing North, Move to left side of the red blocks and Build 4 brown blocks one by one (on top)
<Builder> You can't place brown blocks.
<Architect> Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.
<Architect> Facing north, place an orange block to the left of both existing orange blocks.
<Architect> Facing north, place an orange block in between the two leftmost orange blocks.
<Architect> place an orange block on top of the middle red block.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [1, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange'"
49,"<Architect> Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing North, Move to left side of the red blocks and Build 4 brown blocks one by one (on top)
<Builder> You can't place brown blocks.
<Architect> Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.
<Architect> Facing north, place an orange block to the left of both existing orange blocks.
<Architect> Facing north, place an orange block in between the two leftmost orange blocks.
<Architect> place an orange block on top of the middle red block.
<Architect> Facing north, place a red block to the right of the 2nd red block from the top.","[0, 5, 5], [1, 3, 4], 'skyeast', 'red' && [1, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 3, 6], [1, 1, 1], 'skyeast', 'orange' && [1, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [3, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 2, 6], [1, 1, 1], 'skyeast', 'orange' && [4, 5, 6], [1, 1, 1], 'skyeast', 'orange' && [2, 7, 6], [1, 1, 1], 'skyeast', 'red'"
