,Unnamed: 0,Unnamed: 0.1,description,subtasks,rebuilded
10,10,10,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south","0, 5, 5, 6 && 1, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6)]"
11,11,11,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block","0, 5, 5, 6 && 1, 5, 5, 6 && 2, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (2, 5, 5, 6)]"
12,12,12,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block","0, 5, 5, 6 && 1, 5, 5, 6 && 2, 5, 5, 6 && 3, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (2, 5, 5, 6), (3, 5, 5, 6)]"
13,13,13,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks","0, 5, 5, 6","[(0, 5, 5, 6)]"
14,14,14,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block","0, 5, 5, 6 && 1, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6)]"
15,15,15,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between","0, 5, 5, 6 && 1, 5, 5, 6 && 2, 5, 5, 6 && 4, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (2, 5, 5, 6), (4, 5, 5, 6)]"
16,16,16,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block","0, 5, 5, 6 && 1, 5, 5, 6 && 2, 5, 5, 6 && 4, 5, 5, 6 && 5, 5, 5, 6 && 6, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (2, 5, 5, 6), (4, 5, 5, 6), (5, 5, 5, 6), (6, 5, 5, 6)]"
17,17,17,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block
<Architect> Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.","0, 5, 5, 6 && 1, 5, 5, 6 && 2, 5, 5, 6 && 4, 5, 5, 6 && 5, 4, 5, 2 && 5, 5, 5, 6 && 5, 6, 5, 2 && 6, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (2, 5, 5, 6), (4, 5, 5, 6), (5, 4, 5, 2), (5, 5, 5, 6), (5, 6, 5, 2), (6, 5, 5, 6)]"
18,18,18,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block
<Architect> Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.
<Architect> Destroy the two green blocks and replace them with yellow blocks.","0, 5, 5, 6 && 1, 5, 5, 6 && 2, 5, 5, 6 && 4, 5, 5, 6 && 5, 4, 5, 6 && 5, 5, 5, 6 && 5, 6, 5, 6 && 6, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (2, 5, 5, 6), (4, 5, 5, 6), (5, 4, 5, 6), (5, 5, 5, 6), (5, 6, 5, 6), (6, 5, 5, 6)]"
19,19,19,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between
<Architect> place two yellow blocks vertically atop the highest yellow block
<Architect> Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.
<Architect> Destroy the two green blocks and replace them with yellow blocks.
<Architect> place green block two squares west of the second level yellow block","0, 5, 5, 6 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 5, 5, 6 && 4, 5, 5, 6 && 5, 4, 5, 6 && 5, 5, 5, 6 && 5, 6, 5, 6 && 6, 5, 5, 6","[(0, 5, 5, 6), (1, 3, 5, 2), (1, 5, 5, 6), (2, 5, 5, 6), (4, 5, 5, 6), (5, 4, 5, 6), (5, 5, 5, 6), (5, 6, 5, 6), (6, 5, 5, 6)]"
20,20,20,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 5, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 5, 5, 6), (5, 5, 5, 6)]"
21,21,21,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.
<Architect> Facing North, Build 2 yellow blocks at the right and left side of the 2nd top existing yellow block.
<Builder> Is it 2 blocks on each side (total 4) or 1 block on each side (total 2)?
<Architect> It is one block on each side, totaling two.","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
22,22,22,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.
<Architect> Facing North, Build 2 yellow blocks at the right and left side of the 2nd top existing yellow block.
<Builder> Is it 2 blocks on each side (total 4) or 1 block on each side (total 2)?
<Architect> It is one block on each side, totaling two.
<Architect> Facing north, skip one square to the left of the yellow tower and stack 3 green blocks, so that there's a 1 block gap between the green blocks and the bottom two yellow blocks, then, finally, break the bottom green block.","0, 5, 5, 6 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 3, 5, 2 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 3, 5, 2), (1, 5, 5, 6), (2, 3, 5, 2), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
23,23,23,"<Architect> Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.
<Architect> Facing North, Build 2 yellow blocks at the right and left side of the 2nd top existing yellow block.
<Builder> Is it 2 blocks on each side (total 4) or 1 block on each side (total 2)?
<Architect> It is one block on each side, totaling two.
<Architect> Facing north, skip one square to the left of the yellow tower and stack 3 green blocks, so that there's a 1 block gap between the green blocks and the bottom two yellow blocks, then, finally, break the bottom green block.
<Architect> Facing North from left to right direction, Destroy the existing green blocks. Move to 5th column and 7th position, Build 2 green one top another by leave the bottom space empty.
<Builder> It's unclear what the instruction means by ""7th position."" The last part of the instruction is very ungrammatical, although I can guess what it means.
<Architect> Ignore the first instruction. Facing north, place a green block to the left of the top green block, then stack 5 green blocks immediately to the left of that block, from the ground, then, break the bottommost green block.","0, 5, 5, 6 && 1, 1, 5, 2 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 1, 5, 2 && 2, 2, 5, 2 && 2, 3, 5, 2 && 3, 1, 5, 2 && 3, 5, 5, 6 && 4, 1, 5, 2 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 1, 5, 2), (1, 3, 5, 2), (1, 5, 5, 6), (2, 1, 5, 2), (2, 2, 5, 2), (2, 3, 5, 2), (3, 1, 5, 2), (3, 5, 5, 6), (4, 1, 5, 2), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
24,24,24,"<Architect> Move forward 4 steps, and place a yellow block","0, 5, 5, 6","[(0, 5, 5, 6)]"
25,25,25,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 5, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 5, 5, 6), (5, 5, 5, 6)]"
26,26,26,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
27,27,27,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.
<Architect> Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.","0, 5, 5, 6 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 3, 5, 2 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 3, 5, 2), (1, 5, 5, 6), (2, 3, 5, 2), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
28,28,28,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.
<Architect> Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.
<Architect> Skip one square to the left of the current green tower and build a column of 5 green blocks. Break the bottom block of the tower you just built.","0, 5, 5, 6 && 1, 1, 5, 2 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 1, 5, 2 && 2, 3, 5, 2 && 3, 1, 5, 2 && 3, 5, 5, 6 && 4, 1, 5, 2 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 1, 5, 2), (1, 3, 5, 2), (1, 5, 5, 6), (2, 1, 5, 2), (2, 3, 5, 2), (3, 1, 5, 2), (3, 5, 5, 6), (4, 1, 5, 2), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
29,29,29,"<Architect> Move forward 4 steps, and place a yellow block
<Architect> Place 5 yellow blocks on top of the existing one;
Break the second block you placed.
<Architect> Place a yellow block to the left and right of the second block from the top.
<Architect> Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.
<Architect> Skip one square to the left of the current green tower and build a column of 5 green blocks. Break the bottom block of the tower you just built.
<Architect> Between the two green towers, build a column of three green blocks. Destroy the bottom two blocks of the tower you just built.","0, 5, 5, 6 && 1, 1, 5, 2 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 1, 5, 2 && 2, 2, 5, 2 && 2, 3, 5, 2 && 3, 1, 5, 2 && 3, 5, 5, 6 && 4, 1, 5, 2 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 1, 5, 2), (1, 3, 5, 2), (1, 5, 5, 6), (2, 1, 5, 2), (2, 2, 5, 2), (2, 3, 5, 2), (3, 1, 5, 2), (3, 5, 5, 6), (4, 1, 5, 2), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
30,30,30,<Architect> Build a 6 blocks tall yellow tower and break the third block from the bottom.,"0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 5, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 5, 5, 6), (5, 5, 5, 6)]"
31,31,31,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 5, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 5, 5, 6), (5, 5, 5, 6)]"
32,32,32,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
33,33,33,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.
<Architect> Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.","0, 5, 5, 6 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 3, 5, 2 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 3, 5, 2), (1, 5, 5, 6), (2, 3, 5, 2), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
34,34,34,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.
<Architect> Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.
<Architect> Facing north, place 2 green blocks to the left of the top green block.","0, 5, 5, 6 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 1, 5, 2 && 2, 2, 5, 2 && 2, 3, 5, 2 && 3, 5, 5, 6 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 3, 5, 2), (1, 5, 5, 6), (2, 1, 5, 2), (2, 2, 5, 2), (2, 3, 5, 2), (3, 5, 5, 6), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
35,35,35,"<Architect> Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom
<Architect> Facing north, place a yellow block to the left and right of the second yellow block from the top.
<Architect> Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.
<Architect> Facing north, place 2 green blocks to the left of the top green block.
<Architect> Facing north, place two green blocks on top of the leftmost green block and one under it.","0, 5, 5, 6 && 1, 1, 5, 2 && 1, 3, 5, 2 && 1, 5, 5, 6 && 2, 1, 5, 2 && 2, 2, 5, 2 && 2, 3, 5, 2 && 3, 1, 5, 2 && 3, 5, 5, 6 && 4, 1, 5, 2 && 4, 4, 5, 6 && 4, 5, 5, 6 && 4, 6, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 1, 5, 2), (1, 3, 5, 2), (1, 5, 5, 6), (2, 1, 5, 2), (2, 2, 5, 2), (2, 3, 5, 2), (3, 1, 5, 2), (3, 5, 5, 6), (4, 1, 5, 2), (4, 4, 5, 6), (4, 5, 5, 6), (4, 6, 5, 6), (5, 5, 5, 6)]"
36,36,36,"<Architect> Facing north, build a row of three stacks of four red blocks","0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3 && 0, 8, 5, 3 && 1, 5, 5, 3 && 1, 6, 5, 3 && 1, 7, 5, 3 && 1, 8, 5, 3 && 2, 5, 5, 3 && 2, 6, 5, 3 && 2, 7, 5, 3 && 2, 8, 5, 3","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3), (0, 8, 5, 3), (1, 5, 5, 3), (1, 6, 5, 3), (1, 7, 5, 3), (1, 8, 5, 3), (2, 5, 5, 3), (2, 6, 5, 3), (2, 7, 5, 3), (2, 8, 5, 3)]"
37,37,37,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.","0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3 && 1, 5, 5, 3 && 1, 6, 5, 3 && 1, 7, 5, 3 && 2, 5, 5, 3 && 2, 6, 5, 3 && 2, 7, 5, 3 && 3, 5, 5, 3 && 3, 6, 5, 3 && 3, 7, 5, 3","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3), (1, 5, 5, 3), (1, 6, 5, 3), (1, 7, 5, 3), (2, 5, 5, 3), (2, 6, 5, 3), (2, 7, 5, 3), (3, 5, 5, 3), (3, 6, 5, 3), (3, 7, 5, 3)]"
38,38,38,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.","0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3 && 1, 3, 5, 4 && 1, 4, 5, 4 && 1, 5, 5, 3 && 1, 6, 5, 3 && 1, 7, 5, 3 && 2, 5, 5, 3 && 2, 6, 5, 3 && 2, 7, 5, 3 && 3, 5, 5, 3 && 3, 6, 5, 3 && 3, 7, 5, 3","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3), (1, 3, 5, 4), (1, 4, 5, 4), (1, 5, 5, 3), (1, 6, 5, 3), (1, 7, 5, 3), (2, 5, 5, 3), (2, 6, 5, 3), (2, 7, 5, 3), (3, 5, 5, 3), (3, 6, 5, 3), (3, 7, 5, 3)]"
39,39,39,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.","0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3 && 1, 3, 5, 4 && 1, 4, 5, 4 && 1, 5, 5, 3 && 1, 6, 5, 3 && 1, 7, 5, 3 && 2, 5, 5, 3 && 2, 6, 5, 3 && 2, 7, 5, 3 && 3, 5, 5, 3 && 3, 6, 5, 3 && 3, 7, 5, 3 && 4, 6, 5, 4","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3), (1, 3, 5, 4), (1, 4, 5, 4), (1, 5, 5, 3), (1, 6, 5, 3), (1, 7, 5, 3), (2, 5, 5, 3), (2, 6, 5, 3), (2, 7, 5, 3), (3, 5, 5, 3), (3, 6, 5, 3), (3, 7, 5, 3), (4, 6, 5, 4)]"
40,40,40,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.
<Architect> Facing north, stack 2 orange blocks on top of the leftmost orange block.","0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3 && 1, 3, 5, 4 && 1, 4, 5, 4 && 1, 5, 5, 3 && 1, 6, 5, 3 && 1, 7, 5, 3 && 2, 3, 5, 4 && 2, 5, 5, 3 && 2, 6, 5, 3 && 2, 7, 5, 3 && 3, 3, 5, 4 && 3, 5, 5, 3 && 3, 6, 5, 3 && 3, 7, 5, 3 && 4, 6, 5, 4","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3), (1, 3, 5, 4), (1, 4, 5, 4), (1, 5, 5, 3), (1, 6, 5, 3), (1, 7, 5, 3), (2, 3, 5, 4), (2, 5, 5, 3), (2, 6, 5, 3), (2, 7, 5, 3), (3, 3, 5, 4), (3, 5, 5, 3), (3, 6, 5, 3), (3, 7, 5, 3), (4, 6, 5, 4)]"
41,41,41,"<Architect> Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.
<Architect> Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.
<Architect> Place an orange block on the four red blocks in the center.
<Architect> Facing north, stack 2 orange blocks on top of the leftmost orange block.
<Architect> Facing north, place an orange block to the left of the leftmost red block of the top row.","0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3 && 1, 3, 5, 4 && 1, 4, 5, 4 && 1, 5, 5, 3 && 1, 6, 5, 3 && 1, 7, 5, 3 && 2, 3, 5, 4 && 2, 5, 5, 3 && 2, 6, 5, 3 && 2, 7, 5, 3 && 3, 3, 5, 4 && 3, 4, 5, 4 && 3, 5, 5, 3 && 3, 6, 5, 3 && 3, 7, 5, 3 && 4, 6, 5, 4","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3), (1, 3, 5, 4), (1, 4, 5, 4), (1, 5, 5, 3), (1, 6, 5, 3), (1, 7, 5, 3), (2, 3, 5, 4), (2, 5, 5, 3), (2, 6, 5, 3), (2, 7, 5, 3), (3, 3, 5, 4), (3, 4, 5, 4), (3, 5, 5, 3), (3, 6, 5, 3), (3, 7, 5, 3), (4, 6, 5, 4)]"
